"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"66","08c232f87abd5d252d33106ecc318caa",11.5951716577168,-3.66322144143793,0.667527759932367,-5.48774397308822,4.07099531799826e-08,2.88337318763455e-06
"67","213166c1639e6c6ee2dbfe40c3f9b554",9.64929672638786,-3.32630484262714,0.631489349845961,-5.26739658149187,1.38372066846104e-07,7.72906830526095e-06
"68","bd27336cce595436d238a74650beb4fa",12.1148315947038,-2.28453824417568,0.609706348143123,-3.74694843039326,0.000178998867412827,0.00189158262590312
"69","6dbac92a677a236966383c1c0a9f04f2",19.4349103345595,-2.59486249245376,0.659446570232292,-3.93490937641803,8.32280941407224e-05,0.00108473949363408
"70","1515be165733e8dd4cc6dbef002c0005",8.36603601765997,-2.29590355251471,0.610033118057143,-3.76357198413553,0.000167503481187608,0.00184572465189884
"71","4010756915507c5175897a033e69ff58",46.1660267399052,-2.24102600588414,0.56225909339462,-3.9857532447435,6.7266389780246e-05,0.000922847663300918
"72","9ee31b6edb29e14f977888f9dc14ab7a",33.0058124094949,-2.93614464658441,0.70022190342378,-4.1931630990518,2.75091508002855e-05,0.000471495425702637
"73","7794b58c20c989329a5f54386b84656e",13.5896037412065,-2.09458185401302,0.607022477000829,-3.45058368243942,0.000559375720121778,0.00480694300148604
"74","980896f67e6002cbedb34066ce5de403",6.92347830173595,-2.84454707628453,0.603345749910924,-4.71462188422557,2.42160014589737e-06,6.31230438030582e-05
"75","e8999aded9136bb201a7da2d80080605",6.70469738894428,-2.48727355468192,0.558581210845287,-4.45284142464798,8.47413396979785e-06,0.000189336364696626
"76","69d580be07d21f07be29585971f0c19d",18.2309721621822,-2.85246456728762,0.653438727577812,-4.36531299248398,1.26940863003792e-05,0.000268291229375581
"77","45b7276c677012d373190973e349caf8",17.200755907802,-2.41691460285954,0.634764487608409,-3.80757690457087,0.000140335104383583,0.00166275835799942
"78","c4edc611f1cefc05d05b720f39feab9e",12.0354441899898,-2.54045766411705,0.569322896986066,-4.46224397010195,8.11058074487602e-06,0.000186543357132149
